Finding Name,Severity,Status,Description,Recommendation,Vulnerability References,Affected Components,Tags
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 6 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 6. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 7 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 7. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 8 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 8. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 9 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 9. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 10 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 10. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 11 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 11. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 12 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 12. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 13 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 13. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 14 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 14. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 15 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 15. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 16 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 16. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 17 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 17. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 19 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 19. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 20 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 20. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 21 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 21. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 24 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 24. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:tagging-controller' (namespace: (cluster)) contains rule 1 with potentially risky permissions: sensitive verbs (['patch']) on sensitive resources (['nodes']).,"Review the permissions granted by ClusterRole 'eks:tagging-controller', particularly rule 1. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:tagging-controller,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,High,Open,"ClusterRole 'rbac-escalation-role' (namespace: (cluster)) contains rule 1 with potentially risky permissions: sensitive verbs (['escalate', 'bind']) on sensitive resources (['clusterroles', 'clusterrolebindings', 'roles', 'rolebindings']).","Review the permissions granted by ClusterRole 'rbac-escalation-role', particularly rule 1. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,rbac-escalation-role,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,High,Open,ClusterRole 'rbac-escalation-role' (namespace: (cluster)) contains rule 2 with potentially risky permissions: sensitive verbs (['impersonate']) on sensitive resources (['serviceaccounts']).,"Review the permissions granted by ClusterRole 'rbac-escalation-role', particularly rule 2. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,rbac-escalation-role,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'vpc-resource-controller-role' (namespace: (cluster)) contains rule 4 with potentially risky permissions: sensitive verbs (['patch']) on sensitive resources (['pods']).,"Review the permissions granted by ClusterRole 'vpc-resource-controller-role', particularly rule 4. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,vpc-resource-controller-role,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,"ClusterRole 'wildcard-role' (namespace: (cluster)) contains rule 1 with potentially risky permissions: wildcard verb ('*'), wildcard resource ('*'), wildcard apiGroup ('*'), sensitive verbs (['*']) on sensitive resources (['*']).","Review the permissions granted by ClusterRole 'wildcard-role', particularly rule 1. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,wildcard-role,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Low,Open,"Role 'eks:addon-manager' (namespace: kube-system) contains rule 3 with potentially risky permissions: sensitive verbs (['create', 'delete', 'patch', 'update']) on sensitive resources (['daemonsets']).","Review the permissions granted by Role 'eks:addon-manager', particularly rule 3. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,kube-system/eks:addon-manager,"EKS,Kubernetes,Security,Role"
Role Contains Risky Permissions,Low,Open,"Role 'eks:addon-manager' (namespace: kube-system) contains rule 4 with potentially risky permissions: sensitive verbs (['create', 'delete', 'patch', 'update']) on sensitive resources (['deployments']).","Review the permissions granted by Role 'eks:addon-manager', particularly rule 4. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,kube-system/eks:addon-manager,"EKS,Kubernetes,Security,Role"
Role Contains Risky Permissions,Low,Open,"Role 'eks:addon-manager' (namespace: kube-system) contains rule 6 with potentially risky permissions: sensitive verbs (['create', 'delete', 'patch', 'update']) on sensitive resources (['serviceaccounts']).","Review the permissions granted by Role 'eks:addon-manager', particularly rule 6. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,kube-system/eks:addon-manager,"EKS,Kubernetes,Security,Role"
Namespace Lacks Network Policy,Medium,Open,"Namespace 'psa-warn' has no NetworkPolicy defined. By default, all pods within the namespace can communicate with each other, and potentially with pods in other namespaces or external services, violating the principle of least privilege.",Implement NetworkPolicies to restrict pod-to-pod communication. Start with a default deny policy for the namespace and explicitly allow required ingress/egress traffic between specific pods or namespaces.,CIS 5.3.2,psa-warn/psa-warn,"EKS,Kubernetes,Security,Namespace"
Namespace Lacks Network Policy,Medium,Open,"Namespace 'default' has no NetworkPolicy defined. By default, all pods within the namespace can communicate with each other, and potentially with pods in other namespaces or external services, violating the principle of least privilege.",Implement NetworkPolicies to restrict pod-to-pod communication. Start with a default deny policy for the namespace and explicitly allow required ingress/egress traffic between specific pods or namespaces.,CIS 5.3.2,default/default,"EKS,Kubernetes,Security,Namespace"
Network Policy Allows All Ingress Sources,Medium,Open,Policy 'allow-all' (namespace 'insecure-app') ingress rule #1 allows traffic from ALL sources (no 'from' clause).,"Specify podSelectors, namespaceSelectors, or restrictive ipBlocks in ingress rules to limit allowed sources based on least privilege.",CIS 5.3.2,insecure-app/allow-all,"EKS,Kubernetes,Security,NetworkPolicy"
Network Policy Allows All Egress Destinations,Medium,Open,Policy 'allow-all' (namespace 'insecure-app') egress rule #1 allows traffic to ALL destinations (no 'to' clause).,"Specify podSelectors, namespaceSelectors, or restrictive ipBlocks in egress rules to limit allowed destinations. Unrestricted egress can facilitate data exfiltration.",CIS 5.3.2,insecure-app/allow-all,"EKS,Kubernetes,Security,NetworkPolicy"
Service Exposed via LoadBalancer,Medium,Open,"Service 'vulnerable-service' in namespace 'insecure-app' is of Type LoadBalancer, which provisions an external AWS Load Balancer, exposing the service publicly or internally depending on LB annotations/config. Exposed Ports: 80/TCP. LoadBalancer Hostname (if available): a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4-12345678.us-east-1.elb.amazonaws.com",Verify that this external exposure is intentional and necessary. Ensure appropriate security groups are attached to the load balancer restricting access to trusted sources. Consider using Ingress resources or internal load balancers if external exposure is not required. Regularly review exposed services.,Best Practice / Network Exposure,insecure-app/vulnerable-service,"EKS,Kubernetes,Security,Service"
Ingress Rule Lacks TLS Configuration,Medium,Open,Ingress 'vulnerable-ingress' in namespace 'insecure-app' rule #1 defines host '*.example.com' but this host is not included in any entry under spec.tls. Traffic for this host may be served over unencrypted HTTP.,"Configure TLS for host '*.example.com' by adding an entry to the Ingress 'spec.tls' section, referencing a valid Kubernetes secret containing the TLS certificate and key. Ensure HTTPS is enforced, potentially via Ingress controller annotations.",Best Practice / Encryption,insecure-app/vulnerable-ingress,"EKS,Kubernetes,Security,Ingress"
Secret Contains Sensitive-Looking Keys,Medium,Open,"Secret 'db-secret' in namespace 'insecure-app' contains data keys that suggest sensitive data: ['api_token', 'password']. Verify these are properly managed and rotated.","Ensure secrets with sensitive data keys are tightly controlled via RBAC, rotated regularly, and not exposed unnecessarily.",CIS 5.4.1,insecure-app/db-secret,"EKS,Kubernetes,Security,Secret"
Potential Sensitive Data in ConfigMap Keys,Medium,Open,"ConfigMap 'app-config' in namespace 'insecure-app' contains keys that suggest sensitive data might be stored insecurely: ['database_password', 'jwt_token']. ConfigMaps are often less protected by RBAC than Secrets.","Do not store secrets or sensitive configuration (passwords, tokens, keys) in ConfigMaps. Use Kubernetes Secrets instead and ensure appropriate RBAC.",CIS 5.4.1,insecure-app/app-config,"EKS,Kubernetes,Security,ConfigMap"
